world,arm,uid,ic_uid,stage,n_rows,path_len,net_disp,tortuosity,idle_frac,wander,mean_step,eef_std_x,eef_std_y,eef_std_z,reward_sum
old,dDP,105001,252,picked,123,0.385,0.1189,3.238,0.0,0.0549,0.00313,0.0545,0.0217,0.0164,1.0
old,dDP,105002,265,picked,162,0.4455,0.1789,2.49,0.0,0.0566,0.00275,0.032,0.028,0.018,1.0
old,dDP,105003,279,picked,162,0.4059,0.18,2.255,0.0,0.0512,0.00251,0.0497,0.0477,0.0187,1.0
old,dDP,105004,287,picked,88,0.3843,0.1161,3.31,0.0,0.0622,0.00437,0.0485,0.0171,0.0181,1.0
old,dDP,105006,309,picked,194,0.4946,0.0547,9.036,0.0,0.078,0.00255,0.0621,0.0087,0.0174,1.0
old,dDP,105007,320,picked,71,0.2951,0.1572,1.878,0.0,0.0477,0.00416,0.0374,0.0246,0.0221,1.0
old,dDP,105008,335,picked,209,0.4287,0.1847,2.321,0.0,0.0664,0.00205,0.031,0.0253,0.0156,1.0
old,dDP,105009,275,picked,136,0.8286,0.1683,4.924,0.0,0.0691,0.00609,0.0297,0.0836,0.0587,1.0
old,dDP,105010,333,picked,105,0.7488,0.1558,4.805,0.0,0.0745,0.00713,0.025,0.0855,0.0584,1.0
w3,dH,100000,232,picked,60,0.354,0.1493,2.37,0.0,0.0386,0.0059,0.0445,0.0284,0.0239,1.0
w3,dH,100001,247,picked,109,0.508,0.2183,2.327,0.0,0.0629,0.00466,0.0308,0.061,0.0319,1.0
w3,dH,100002,258,picked,70,0.4451,0.0847,5.253,0.0,0.0808,0.00636,0.0484,0.0218,0.0199,1.0
w3,dH,100003,273,picked,98,0.3561,0.15,2.375,0.0,0.0647,0.00363,0.0346,0.02,0.0318,1.0
w3,dH,100004,281,picked,116,0.4954,0.1994,2.484,0.0,0.0315,0.00427,0.0348,0.0856,0.0216,1.0
w3,dH,100005,298,picked,75,0.3777,0.1106,3.415,0.0,0.0765,0.00504,0.0432,0.019,0.0223,1.0
w3,dH,100006,308,picked,85,0.5503,0.0789,6.97,0.0,0.0838,0.00647,0.0365,0.0329,0.0346,1.0
w3,dH,100007,320,picked,195,0.5686,0.1543,3.685,0.0,0.0581,0.00292,0.0434,0.0331,0.0314,1.0
w3,dH,100008,333,picked,124,0.4364,0.2077,2.101,0.0,0.068,0.00352,0.0413,0.0461,0.03,1.0
w3,dH,101000,233,picked,62,0.4036,0.1182,3.415,0.0,0.0495,0.00651,0.0479,0.0216,0.0301,1.0
w3,dH,101001,248,picked,119,0.4196,0.1503,2.792,0.0,0.059,0.00353,0.041,0.0184,0.0284,1.0
w3,dH,101002,259,picked,93,0.6004,0.1501,4.001,0.0,0.0924,0.00646,0.0511,0.0557,0.0323,1.0
w3,dH,101003,274,picked,122,0.556,0.1196,4.648,0.0,0.0432,0.00456,0.0483,0.0226,0.0434,1.0
w3,dH,101004,283,picked,100,0.3579,0.1506,2.377,0.0,0.0578,0.00358,0.0404,0.0447,0.0206,1.0
w3,dH,101005,299,picked,198,1.1666,0.2207,5.286,0.0,0.0753,0.00589,0.0454,0.0825,0.0232,1.0
w3,dH,101006,309,picked,97,0.5235,0.0452,11.572,0.0,0.0902,0.0054,0.0458,0.0136,0.0176,1.0
w3,dH,101007,321,picked,97,0.3442,0.1156,2.977,0.0,0.0655,0.00355,0.0289,0.0079,0.0236,1.0
w3,dH,101008,335,picked,73,0.4024,0.1859,2.164,0.0,0.0551,0.00551,0.038,0.0443,0.026,1.0
w3,dH,102001,250,picked,246,1.339,0.217,6.171,0.0,0.0799,0.00544,0.0524,0.1135,0.0232,1.0
w3,dH,102002,262,picked,58,0.3338,0.1298,2.571,0.0,0.0493,0.00576,0.053,0.0188,0.0337,1.0
w3,dH,102003,275,picked,104,0.5258,0.2014,2.611,0.0,0.0514,0.00506,0.0309,0.048,0.0278,1.0
w3,dH,102004,284,picked,82,0.2519,0.0804,3.132,0.0,0.0668,0.00307,0.0314,0.0067,0.0229,1.0
w3,dH,102006,311,picked,99,0.6681,0.1967,3.396,0.0,0.057,0.00675,0.0335,0.0704,0.0393,1.0
w3,dH,102007,325,picked,114,0.4714,0.1677,2.811,0.0,0.0656,0.00414,0.0349,0.0255,0.026,1.0
w3,dH,103000,235,picked,46,0.3525,0.1396,2.524,0.0,0.0569,0.00766,0.0515,0.0226,0.0279,1.0
w3,dH,103001,251,picked,133,0.3695,0.1629,2.268,0.0,0.0642,0.00278,0.0294,0.0304,0.0291,1.0
w3,dH,103002,263,picked,105,0.7626,0.1629,4.681,0.0,0.0846,0.00726,0.0404,0.0615,0.0384,1.0
w3,dH,103003,276,picked,149,0.4585,0.1718,2.669,0.0,0.0367,0.00308,0.0522,0.0674,0.0304,1.0
w3,dH,103005,301,picked,159,0.5538,0.1367,4.05,0.0,0.0638,0.00348,0.041,0.0279,0.0242,1.0
w3,dH,103006,315,picked,218,0.9351,0.1705,5.485,0.0,0.0404,0.00429,0.0515,0.0427,0.0352,1.0
