learner,dataset,seed,in_design,run,training_record,home,picked,cells,excluded_reason
{r2dreamer},machine,9,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s9,True,0.6666666666666666,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s9/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s9/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},machine,10,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s10,True,0.5666666666666667,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s10/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s10/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},machine,11,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s11,True,0.4666666666666667,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s11/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s11/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},machine,12,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s12,True,0.6166666666666667,0.7166666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s12/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s12/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},machine,13,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s13,True,0.6166666666666667,0.7333333333333334,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s13/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s13/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},machine,14,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s14,True,0.5333333333333333,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s14/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s14/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},machine,15,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s15,True,0.6499999999999999,0.7333333333333334,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s15/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s15/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},planner72,0,True,full_r2d_state_native_rns10h_img_r2dreamer_s0,True,0.6,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s0/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s0/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},planner72,1,True,full_r2d_state_native_rns10h_img_r2dreamer_s1,True,0.6499999999999999,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s1/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s1/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},planner72,2,True,full_r2d_state_native_rns10h_img_r2dreamer_s2,True,0.5333333333333333,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s2/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s2/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},planner72,3,True,full_r2d_state_native_rns10h_img_r2dreamer_s3,True,0.5833333333333333,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s3/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s3/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},planner72,4,True,full_r2d_state_native_rns10h_img_r2dreamer_s4,True,0.6166666666666667,0.7333333333333334,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s4/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s4/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},planner72,5,True,full_r2d_state_native_rns10h_img_r2dreamer_s5,True,0.43333333333333335,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s5/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s5/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},planner72,6,True,full_r2d_state_native_rns10h_img_r2dreamer_s6,True,0.5833333333333333,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s6/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s6/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},planner72,7,True,full_r2d_state_native_rns10h_img_r2dreamer_s7,True,,,,no rnd30_mode cell at 2000k
