condition,arm,seed,run,source,path,origin,nominal_budget,budget_used,achieved_online,episodes,complete,note,x_unit,phases_absent,n_rnd30_cells,n_hold15_cells
r2dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s9,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s9,149952,2000000,2000000,1999396,6618,True,,online sim steps,,4,4
r2dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s10,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s10,149952,2000000,2000000,1999943,9439,True,,online sim steps,,4,4
r2dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s11,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s11,149952,2000000,2000000,1999893,8414,True,,online sim steps,,4,4
r2dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s12,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s12,149952,2000000,2000000,1999744,7941,True,,online sim steps,,4,4
r2dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s13,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s13,149952,2000000,2000000,1999747,7382,True,,online sim steps,,4,4
r2dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s14,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s14,149952,2000000,2000000,1999803,9109,True,,online sim steps,,4,4
r2dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s15,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s15,149952,2000000,2000000,1992781,7716,True,,online sim steps,,4,4
rlpd_cluster,human,0,e2e_rlpd_px_dH_s0,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s0,0,1000000,1000000,999680,1297,True,,online sim frames (decisions x 4),"farside,slide_event,home",1,1
rlpd_cluster,human,1,e2e_rlpd_px_dH_s1,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s1,0,1000000,1000000,999528,1222,True,,online sim frames (decisions x 4),"farside,slide_event,home",1,1
rlpd_cluster,human,2,e2e_rlpd_px_dH_s2,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s2,0,1000000,1000000,998804,1250,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,human,3,e2e_rlpd_px_dH_s3,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s3,0,1000000,1000000,999560,1210,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,human,4,e2e_rlpd_px_dH_s4,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s4,0,1000000,1000000,998932,1259,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,human,5,e2e_rlpd_px_dH_s5,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s5,0,1000000,1000000,999872,1276,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,human,6,e2e_rlpd_px_dH_s6,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s6,0,1000000,1000000,999376,1286,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,human,7,e2e_rlpd_px_dH_s7,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s7,0,1000000,1000000,999584,1287,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,human,8,e2e_rlpd_px_dH_s8,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s8,0,1000000,1000000,998936,1211,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,machine,0,e2e_rlpd_px_dDPfirst_s0,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s0,0,1000000,1000000,999360,1421,True,,online sim frames (decisions x 4),"farside,slide_event,home",1,1
rlpd_cluster,machine,1,e2e_rlpd_px_dDPfirst_s1,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s1,0,1000000,1000000,999924,2530,True,,online sim frames (decisions x 4),"farside,slide_event,home",1,1
rlpd_cluster,machine,2,e2e_rlpd_px_dDPfirst_s2,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s2,0,1000000,1000000,999044,1187,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,machine,3,e2e_rlpd_px_dDPfirst_s3,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s3,0,1000000,1000000,999776,1366,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,machine,4,e2e_rlpd_px_dDPfirst_s4,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s4,0,1000000,1000000,999712,1383,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,machine,5,e2e_rlpd_px_dDPfirst_s5,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s5,0,1000000,1000000,999288,1347,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,machine,6,e2e_rlpd_px_dDPfirst_s6,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s6,0,1000000,1000000,999952,1415,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
rlpd_cluster,machine,7,e2e_rlpd_px_dDPfirst_s7,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s7,0,1000000,1000000,999568,1362,True,,online sim frames (decisions x 4),"farside,slide_event,home",0,0
