condition,arm,seed,run,threshold,phase,reference,rise_step_reference,budget,achieved,complete,note,rise_step_phase,lag_steps,status
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,0.5,tipped,picked,159370,2000000,1997828,True,,158752,-618,crossed
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,0.5,placed_v2,picked,237919,2000000,1999651,True,,257331,19412,crossed
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,0.5,farside,picked,237919,2000000,1999651,True,,257331,19412,crossed
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,0.5,slide_event,picked,237919,2000000,1999651,True,,336585,98666,crossed
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,0.5,home,picked,237919,2000000,1999651,True,,336585,98666,crossed
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,0.5,tipped,picked,237919,2000000,1999651,True,,237919,0,crossed
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,0.5,placed_v2,picked,320952,2000000,1999709,True,,343801,22849,crossed
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,0.5,farside,picked,320952,2000000,1999709,True,,343801,22849,crossed
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,0.5,slide_event,picked,320952,2000000,1999709,True,,347524,26572,crossed
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,0.5,home,picked,320952,2000000,1999709,True,,347524,26572,crossed
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,0.5,tipped,picked,320952,2000000,1999709,True,,106609,-214343,crossed
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,0.5,placed_v2,picked,224918,2000000,1999603,True,,234007,9089,crossed
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,0.5,farside,picked,224918,2000000,1999603,True,,306502,81584,crossed
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,0.5,slide_event,picked,224918,2000000,1999603,True,,309266,84348,crossed
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,0.5,home,picked,224918,2000000,1999603,True,,310196,85278,crossed
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,0.5,tipped,picked,224918,2000000,1999603,True,,175348,-49570,crossed
dreamer_cluster,planner72,0,full_r2d_state_native_rns10h_img_dreamer_s0,0.5,placed_v2,picked,894144,2000000,1992615,True,,1065844,171700,crossed
dreamer_cluster,planner72,0,full_r2d_state_native_rns10h_img_dreamer_s0,0.5,farside,picked,894144,2000000,1992615,True,,1494331,600187,crossed
dreamer_cluster,planner72,0,full_r2d_state_native_rns10h_img_dreamer_s0,0.5,slide_event,picked,894144,2000000,1992615,True,,1866487,972343,crossed
dreamer_cluster,planner72,0,full_r2d_state_native_rns10h_img_dreamer_s0,0.5,home,picked,894144,2000000,1992615,True,,1866487,972343,crossed
dreamer_cluster,planner72,0,full_r2d_state_native_rns10h_img_dreamer_s0,0.5,tipped,picked,894144,2000000,1992615,True,,371511,-522633,crossed
dreamer_cluster,planner72,1,full_r2d_state_native_rns10h_img_dreamer_s1,0.5,placed_v2,picked,480894,2000000,1992158,True,,894039,413145,crossed
dreamer_cluster,planner72,1,full_r2d_state_native_rns10h_img_dreamer_s1,0.5,farside,picked,480894,2000000,1992158,True,,946304,465410,crossed
dreamer_cluster,planner72,1,full_r2d_state_native_rns10h_img_dreamer_s1,0.5,slide_event,picked,480894,2000000,1992158,True,,never,,never
dreamer_cluster,planner72,1,full_r2d_state_native_rns10h_img_dreamer_s1,0.5,home,picked,480894,2000000,1992158,True,,never,,never
dreamer_cluster,planner72,1,full_r2d_state_native_rns10h_img_dreamer_s1,0.5,tipped,picked,480894,2000000,1992158,True,,483556,2662,crossed
dreamer_cluster,planner72,2,full_r2d_state_native_rns10h_img_dreamer_s2,0.5,placed_v2,picked,401533,2000000,1600654,False,incomplete (still running or interrupted),935245,533712,crossed
dreamer_cluster,planner72,2,full_r2d_state_native_rns10h_img_dreamer_s2,0.5,farside,picked,401533,2000000,1600654,False,incomplete (still running or interrupted),1037707,636174,crossed
dreamer_cluster,planner72,2,full_r2d_state_native_rns10h_img_dreamer_s2,0.5,slide_event,picked,401533,2000000,1600654,False,incomplete (still running or interrupted),1365471,963938,crossed
