learner,dataset,seed,in_design,home,picked,cells,excluded_reason
{DreamerV3 losses},machine,10,True,0.3666666666666667,0.6666666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},machine,11,True,0.35,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},machine,12,True,0.3333333333333333,0.7166666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},machine,13,True,0.5666666666666667,0.7166666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},machine,14,True,0.1,0.5666666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},machine,15,True,0.41666666666666663,0.6499999999999999,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},planner72,0,True,0.016666666666666666,0.55,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s0/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s0/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},planner72,1,True,0.0,0.35,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s1/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s1/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},planner72,2,True,0.2833333333333333,0.6,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s2/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s2/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},planner72,3,True,0.0,0.21666666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s3/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s3/online_2000000/rnd30_sample/metrics.json,
