condition,arm,seed,run,phase,threshold,rise_step,first_event_step,budget,achieved,note
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,farside,0.5,295206,122901,2000000,1999020,
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,farside,0.5,405064,112238,2000000,1999910,
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,farside,0.5,284237,125910,2000000,1999870,
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,farside,0.5,274211,152497,2000000,1997828,
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,farside,0.5,257331,167384,2000000,1999651,
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,farside,0.5,343801,297806,2000000,1999709,
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,farside,0.5,306502,212399,2000000,1999603,
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,slide_event,0.5,342555,224587,1000000,999557,
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,slide_event,0.5,291763,214341,1000000,992537,
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,slide_event,0.5,337457,277609,1000000,999552,
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,slide_event,0.5,433807,230232,1000000,992801,
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,slide_event,0.5,360702,231461,2000000,1992570,
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,slide_event,0.5,310248,153190,2000000,1999020,
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,slide_event,0.5,406148,135684,2000000,1999910,
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,slide_event,0.5,300105,141001,2000000,1999870,
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,slide_event,0.5,277315,162462,2000000,1997828,
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,slide_event,0.5,336585,167384,2000000,1999651,
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,slide_event,0.5,347524,307726,2000000,1999709,
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,slide_event,0.5,309266,219658,2000000,1999603,
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,home,0.5,342555,224587,1000000,999557,
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,home,0.5,292352,214341,1000000,992537,
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,home,0.5,337457,277609,1000000,999552,
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,home,0.5,439756,230232,1000000,992801,
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,home,0.5,362036,244912,2000000,1992570,
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,home,0.5,310248,153190,2000000,1999020,
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,home,0.5,407811,218396,2000000,1999910,
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,home,0.5,300105,141001,2000000,1999870,
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,home,0.5,326249,209772,2000000,1997828,
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,home,0.5,336585,167384,2000000,1999651,
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,home,0.5,347524,307726,2000000,1999709,
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,home,0.5,310196,224918,2000000,1999603,
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,home,0.1,256590,224587,1000000,999557,
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,home,0.1,220475,214341,1000000,992537,
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,home,0.1,288642,277609,1000000,999552,
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,home,0.1,245678,230232,1000000,992801,
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,home,0.1,259708,244912,2000000,1992570,
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,home,0.1,162892,153190,2000000,1999020,
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,home,0.1,319002,218396,2000000,1999910,
