ladder,arm,seed,stage,bin_center_step,rate,n_episodes_in_bin
nested_ramp,machine,974,picked,2050000,,0
nested_ramp,machine,974,picked,2150000,,0
nested_ramp,machine,974,picked,2250000,,0
nested_ramp,machine,974,picked,2350000,,0
nested_ramp,machine,974,picked,2450000,,0
nested_ramp,machine,974,picked,2550000,,0
nested_ramp,machine,974,picked,2650000,,0
nested_ramp,machine,974,picked,2750000,,0
nested_ramp,machine,974,picked,2850000,,0
nested_ramp,machine,974,picked,2950000,,0
nested_ramp,machine,974,picked,3050000,,0
nested_ramp,machine,974,picked,3150000,,0
nested_ramp,machine,974,picked,3250000,,0
nested_ramp,machine,974,picked,3350000,,0
nested_ramp,machine,974,picked,3450000,,0
nested_ramp,machine,974,picked,3550000,,0
nested_ramp,machine,974,picked,3650000,,0
nested_ramp,machine,974,picked,3750000,,0
nested_ramp,machine,974,picked,3850000,,0
nested_ramp,machine,974,picked,3950000,,0
nested_ramp,machine,979,picked,50000,0.0235,85
nested_ramp,machine,979,picked,150000,0.0404,99
nested_ramp,machine,979,picked,250000,0.0842,95
nested_ramp,machine,979,picked,350000,0.0377,106
nested_ramp,machine,979,picked,450000,0.0943,106
nested_ramp,machine,979,picked,550000,0.1416,113
nested_ramp,machine,979,picked,650000,0.3444,151
nested_ramp,machine,979,picked,750000,0.4184,141
nested_ramp,machine,979,picked,850000,0.6000,170
nested_ramp,machine,979,picked,950000,0.6106,208
nested_ramp,machine,979,picked,1050000,0.7895,209
nested_ramp,machine,979,picked,1150000,0.8253,166
nested_ramp,machine,979,picked,1250000,0.8052,231
nested_ramp,machine,979,picked,1350000,0.8333,216
nested_ramp,machine,979,picked,1450000,0.8033,244
nested_ramp,machine,979,picked,1550000,0.7511,229
nested_ramp,machine,979,picked,1650000,0.9167,48
nested_ramp,machine,979,picked,1750000,,0
nested_ramp,machine,979,picked,1850000,,0
nested_ramp,machine,979,picked,1950000,,0
nested_ramp,machine,979,picked,2050000,,0
nested_ramp,machine,979,picked,2150000,,0
nested_ramp,machine,979,picked,2250000,,0
nested_ramp,machine,979,picked,2350000,,0
nested_ramp,machine,979,picked,2450000,,0
nested_ramp,machine,979,picked,2550000,,0
nested_ramp,machine,979,picked,2650000,,0
nested_ramp,machine,979,picked,2750000,,0
nested_ramp,machine,979,picked,2850000,,0
nested_ramp,machine,979,picked,2950000,,0
nested_ramp,machine,979,picked,3050000,,0
nested_ramp,machine,979,picked,3150000,,0
nested_ramp,machine,979,picked,3250000,,0
nested_ramp,machine,979,picked,3350000,,0
nested_ramp,machine,979,picked,3450000,,0
nested_ramp,machine,979,picked,3550000,,0
nested_ramp,machine,979,picked,3650000,,0
nested_ramp,machine,979,picked,3750000,,0
nested_ramp,machine,979,picked,3850000,,0
nested_ramp,machine,979,picked,3950000,,0
nested_ramp,machine,980,picked,50000,0.0119,84
nested_ramp,machine,980,picked,150000,0.0102,98
nested_ramp,machine,980,picked,250000,0.0192,104
nested_ramp,machine,980,picked,350000,0.0560,125
nested_ramp,machine,980,picked,450000,0.0577,104
nested_ramp,machine,980,picked,550000,0.0625,112
nested_ramp,machine,980,picked,650000,0.2197,132
nested_ramp,machine,980,picked,750000,0.2764,123
nested_ramp,machine,980,picked,850000,0.6379,174
nested_ramp,machine,980,picked,950000,0.6477,176
nested_ramp,machine,980,picked,1050000,0.8010,206
nested_ramp,machine,980,picked,1150000,0.8232,181
nested_ramp,machine,980,picked,1250000,0.8876,169
nested_ramp,machine,980,picked,1350000,0.9145,152
nested_ramp,machine,980,picked,1450000,0.8938,160
nested_ramp,machine,980,picked,1550000,0.9203,138
nested_ramp,machine,980,picked,1650000,0.9325,163
nested_ramp,machine,980,picked,1750000,0.8516,182
nested_ramp,machine,980,picked,1850000,0.8596,114
nested_ramp,machine,980,picked,1950000,,0
nested_ramp,machine,980,picked,2050000,,0
nested_ramp,machine,980,picked,2150000,,0
nested_ramp,machine,980,picked,2250000,,0
nested_ramp,machine,980,picked,2350000,,0
nested_ramp,machine,980,picked,2450000,,0
