comparison,arm_role,arm,seed,k,n,cell,statistic,action_mode,source,path
pick_rnd30_r2d_mode,machine,dDP,6,19,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s6/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,machine,dDP,7,18,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s7/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,0,16,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s0/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,1,20,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s1/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,2,20,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s2/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,3,18,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s3/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,4,19,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s4/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,5,16,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s5/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,6,18,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s6/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,human,dHv2raw,7,20,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s7/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,machine,dDP,0,20,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s0/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,machine,dDP,1,17,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s1/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,machine,dDP,2,19,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s2/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,machine,dDP,3,19,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s3/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,machine,dDP,4,20,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s4/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,machine,dDP,5,20,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s5/fresh_eval_rnd30_sample/metrics.json
