run,cell,arm,episodes,ep_diff,moved,structural_only,cols_changed,structural_cols,orig_host,orig_cores,orig_isa,rescore_host,rescore_cores,rescore_isa
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s2,fresh_eval_polE_sample,machine,160,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s3,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s3,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s3,fresh_eval_polE_mode,machine,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s3,fresh_eval_polE_sample,machine,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s4,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s4,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s4,fresh_eval_polE_mode,machine,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s4,fresh_eval_polE_sample,machine,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s5,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s5,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s5,fresh_eval_polE_mode,machine,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s5,fresh_eval_polE_sample,machine,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s6,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s6,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s6,fresh_eval_polE_mode,machine,160,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s6,fresh_eval_polE_sample,machine,160,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s7,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax152,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s7,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax152,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s7,fresh_eval_polE_mode,machine,160,0,0,0,,,pax152,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s7,fresh_eval_polE_sample,machine,160,0,0,0,,,pax152,64,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s0,fresh_eval_holdE_mode,human,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s0,fresh_eval_holdE_sample,human,11,0,0,0,,,pax119,48,avx512,,,
